Province,U_R,COICOP,Products,Weights,Date,Index,Source
0,0,01.1.7,Vegetables,1842.8570486570281,2010-05-01,77.00279176520068,All Rwanda
0,0,01.2,Non-alcoholic beverages,114.62930950425736,2010-05-01,83.95211535217275,All Rwanda
0,0,02,Alcoholic beverages and tobacco,680.8440217778525,2010-05-01,92.0686377042144,All Rwanda
0,0,03,Clothing and footwear,530.9944773078367,2010-05-01,86.45457894127189,All Rwanda
0,0,04,"Housing, water, electricity, gas and other fuels",1827.7758311936157,2010-05-01,88.57739849367586,All Rwanda
0,0,05,"Furnishing, household equipment and routine household maintenance ",345.92335209688025,2010-05-01,95.96256090023088,All Rwanda
0,0,06,Health,121.09522911844475,2010-05-01,87.03110949806465,All Rwanda
0,0,07,Transport,772.5927231856721,2010-05-01,88.68050611798522,All Rwanda
0,0,08,Communication,238.1321768462081,2010-05-01,109.40249753443625,All Rwanda
0,0,09,Recreation and culture,218.13981330048003,2010-05-01,96.02051482219666,All Rwanda
0,0,10,Education,200.9885867838568,2010-05-01,65.44350925368889,All Rwanda
0,0,11,Restaurants and hotels,643.9875038495742,2010-05-01,87.8947428474123,All Rwanda
0,0,12,Miscellaneous goods and services,515.9834508284413,2010-05-01,84.85236227413506,All Rwanda
0,0,00,GENERAL INDEX (CPI),10000.000000000005,2010-06-01,81.48661117056959,All Rwanda
0,0,01,Food and non-alcoholic beverages,3903.5428337111343,2010-06-01,76.48675529522065,All Rwanda
0,0,01.1.1,Bread and cereals,662.2591994582781,2010-06-01,81.9622430155202,All Rwanda
0,0,01.1.2,Meat,173.7715732678241,2010-06-01,81.46687131179526,All Rwanda
